Ticker;Nome;Preço (R$);Qualificado?
BMIN4;Banco Mercantil de Investimentos;18.41;0
PLAS3;Plascar;5.00;0
BAUH4;Excelsior;93.30;0
UNIP5;Unipar;61.23;0
GEPA3;Rio Paranapanema Energia;32.50;0
PEAB3;Participações Aliança da Bahia;38.80;0
RPAD3;Alfa Holdings;5.30;0
CGAS3;Comgás;121.11;0
CEED3;CEEE D;8.95;0
DTCY3;Dtcom;2.95;0
CLSC3;Celesc;116.00;0
TKNO3;Tekno;207.00;0
ESTR3;Estrela;3.01;0
NEXP3;Brasil Brokers;2.89;0
CTSA3;Santanense;2.69;0
PETZ3;Petz;4.39;0
RPAD6;Alfa Holdings;4.50;0
SNSY3;Sansuy;11.00;0
CALI3;Adolpho Lindenberg;16.05;0
BALM3;Baumer;28.00;0
CRPG3;Tronox Pigmentos;17.01;0
BRSR5;Banrisul;15.10;0
MERC4;Mercantil do Brasil Financeira;12.50;0
CCTY3;REDVECO PROPERTIES S.A;12.00;0
CCTY3;RDVC CITY;12.00;0
BDLL3;Bardella;7.70;0
MRSA3B;MRS Logística;39.00;0
MWET4;Wetzel;8.63;0
FRIO3;Metalfrio;209.98;0
BIOM11;Biomm;2.75;0
PSVM11;PORTO VM;4.90;0
PATI4;Panatlântica;34.00;0
BRKM6;Braskem;9.00;0
EKTR3;Elektro;49.20;0
