Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
RBDS11;RB Capital Desenvolvimento Residencial II FII;Fundo de Desenvolvimento;2.03;2.35;0.5
RBCO11;RBCO11;Lajes Corporativas;-;0.50;0.5
QNTS11;QNTS11;Indefinido;-;1.72;0.3
QIRI11;QIRI11;Papéis;78.04;89.64;0.2
QAMI11;QAMI11;Papéis;84.68;1.00;0.9
QAGR11;QAGR11;agro;41.00;0.46;0.8
PVBI11;FI Imobiliario VBI Prime Properties;Lajes Corporativas;80.01;0.45;1
PULV11;FII PULV CI;Papéis;8.72;0.71;0.9
PSEC11;Patria Securities FII;Fundo de Fundos;64.61;0.65;0
PRTS11;PRTS11;Shoppings;17.396.42;0.05;1
PRSV11;Presidente Vargas FI Imobiliario - Classe Unica;Lajes Corporativas;33.00;14.10;0.2
PRIF11;Patria Cred Infra Renda FIFCFII Infra Renda Fixa;Indefinido;101.74;1.00;0.4
PQDP11;FII - FII Parque Dom Pedro Shopping Center;Shoppings;2.317.00;17.60;0.9
PQAG11;Parque Anhanguera FII Unica;Imóveis Industriais e Logísticos;54.59;0.48;0.5
PPEI11;Prisma Proton Energia FIP em Infraestrutura;Indefinido;78.66;4.25;0.3
PORD11;Polo Credito Imobiliario - FII;Papéis;8.02;0.10;0.4
PNRC11;Panorama Real Estate Credito FII;Indefinido;61.00;0.60;0.5
PNPR11;Panorama Properties FII Unica;Fundo de Desenvolvimento;48.00;19.05;0.8
PNDL11;Panorama Desenvolvimento Logistico FII Closed Fund;Fundo de Desenvolvimento;1.200.00;3.00;1
PNCR11;FII PNCR CI;Imóveis Residenciais;45.20;46.09;0.9
PMLL11;Patria Malls Fii Resp Limitada Cf;Shoppings;104.49;0.86;0.8
PMIS11;Paramis Hedge Fund FI Imobiliario;Misto;8.36;0.12;0.9
PMFO11;Speciale Real Estate Fund of Funds FII;Misto;88.14;0.84;0.7
PLRI11;Polo FII Recebiveis Imobiliarios I;Papéis;11.37;0.25;0.5
PLOG11;PLOG11;Imóveis Industriais e Logísticos;66.71;0.70;0.9
PLCR11;PLCR11;Papéis;78.20;5.23;0.1
PLCA11;Plural BRB Credito Agro - Fiagro - Imob - Unica;Indefinido;73.99;1.00;0.7
PLAG11;VBI Agro - Fundo de Investimento Imobiliario;Indefinido;50.71;0.48;0.7
PICE11;Patria Infraestrutura Energia Core Fundo de Investimento em Partic;Indefinido;32.98;0.50;0.9
PFIN11;Perfin Apollo Energia FIP Infraestrutura;Indefinido;77.17;0.80;0.3
PEMA11;Performa Real Estate FII - Unica;Papéis;41.25;0.70;0.6
PDBM11;PDM Malls Fundo de Inves Imob Resp Lim CLosed Fund;Shoppings;115.00;0.88;0.2
PCIP11;Patria Cred Imob Precos FII RL;Papéis;84.56;0.83;0.9
PCAS11;PCAS11;Indefinido;-;28.57;0
PATL11;Patria Logistica Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;65.99;0.70;0.4
PATC11;Patria Edificios Corporativos FI Imobiliario-FII;Fundo de Desenvolvimento;42.00;0.05;0.3
PATB11;PATB11;Lajes Corporativas;-;3.69;0.6
PATA11;Patagonia Capital Multiestrategia Fdo Inv Imob Cf;Misto;10.34;0.09;0.1
PABY11;Fundo de Investimento Imobiliario Panamby;Fundo de Desenvolvimento;12.25;0.13;0.2
OURE11;OURE11;Misto;78.20;1.09;0.4
OULG11;FII True Multiestrategia RL;Imóveis Industriais e Logísticos;24.04;15.52;0.1
OUJP11;Ourinvest JPP FI Imobiliario;Papéis;78.50;1.03;0.7
OUFF11;OUFF11;Fundo de Fundos;61.10;0.76;0.4
ORPD11;ORPD11;Fundo de Desenvolvimento;93.00;1.38;0.2
OPTM11;FI Imobiliario Patrimonial IV - Unica;Misto;-;0.14;0.6
ONEF11;ONEF11;Lajes Corporativas;200.03;2.85;0.1
ONDV11;Onda Invest Multiestrategia FII Resp Limitada Closed Fund;Exploração de Imóveis;9.77;0.12;0.3
OIAG11;Ourinvest Innovation Fiagro Imobiliario Unica;Indefinido;8.90;0.12;0.9
OGIN11;Nikos Fundo de Investimento em Cotas de Fundos Cf;Misto;8.01;0.10;1
OGHY11;OGHY11;Indefinido;8.72;9.40;0.5
OCRE11;Octo Fundo de Investimento Imobiliario Cef;Papéis;74.00;0.42;0.6
OBAL11;Opportunity Balassiano FII A;Imóveis Residenciais;1.095.00;81.96;0.4
NVRP11;FIP Nova Raposo Multiestrategia;Indefinido;170.00;87.50;0.5
NVIF11B;NVIF11B;Fundo de Desenvolvimento;227.50;1.11;0.4
NVIF11;Nova I Fundo de Investimento Imobiliario Closed Fund;Fundo de Desenvolvimento;227.50;0.89;0.9
NVHO11;FI Imobiliario - FII Novo Horizonte - Un;Hospitalar;13.00;0.09;0.8
NUIF11;Nu Infra FICII Renda Fixa Credito Privado;Indefinido;95.45;1.35;0.2
NSLU11;FII Hospital Nossa Senhora de Lourdes;Hospitalar;206.96;1.37;0.6
NEXG11;Nex Crd Agro FI Nas Cad Prod do Agrneg Fiagro-Imb;Agricultura;130.26;0.75;0.4
NEWU11;NewPort Renda Urbana FII;Lajes Corporativas;108.00;1.10;0.3
NEWL11;Newport Logistica FII;Imóveis Industriais e Logísticos;114.28;1.08;0.1
NELO11;NELO11;Logística;-;45.59;0.4
NCRI11;Navi Credito Imobiliario FII;Papéis;9.11;0.10;0.9
NCHB11;NCHB11;Papéis;7.97;0.11;0
NAVT11;Navi Imobiliario FOF de Investimento Imobiliario;Papéis;72.50;0.75;0.4
NAUI11;Ten Desenvolvimento FII;Outros;1.100.00;179.76;0.6
MXRF11;Maxi Renda Fundo de Investimento Imobiliario - FII;Papéis;9.51;0.10;0.2
MORE11;MORE11;Fundo de Fundos;76.21;6.02;0.7
MMPD11;MMPD11;Indefinido;-;1.72;0.7
MINT11;MINT11;Educacional;96.50;14.67;0.1
MGRI11;Mogno Properties FII Unica;Indefinido;58.18;1.35;0.5
MGLG11;MGLG11;Imóveis Industriais e Logísticos;40.99;0.35;0.2
MGHT11;Fundo de Investimento Imobiliario Mogno Hoteis;Hotéis;19.33;0.13;0.5
MGFF11;MGFF11;Fundo de Fundos;69.99;4.26;0.3
MGCR11;MGCR11;Papéis;9.40;0.33;0.8
MFII11;Merito Desenvolvimento Imobiliario I FII;Fundo de Desenvolvimento;75.05;1.07;0.5
MFAI11;MFAI11;Fundo de Fundos;69.98;34.18;0.5
MCRE11;Maua Capital Real Estate FI Imobiliario;Papéis;9.44;0.11;0.9
MCLO11;Maua Capital Logistica FI Imobiliario RL;Imóveis Industriais e Logísticos;10.18;0.09;0.3
MCHY11;MCHY11;Papéis;8.58;0.10;0.9
MCHF11;MCHF11;Papéis;9.10;2.59;0
MCEM11;Merito Cemiterios FII FII P;Shoppings;62.81;0.67;1
MCCI11;FII Maua Capital Recebiveis Imobiliarios FII;Papéis;91.00;1.00;0.3
MBRF11;MBRF11;Lajes Corporativas;-;0.50;0.7
MAXR11;FI Imobiliario FII Max Retail;Varejo;62.00;0.22;0.6
MATV11;MATV11;Indefinido;86.63;0.60;0.1
MANA11;Manati Capital Hedge Fund FI Imobiliario;Indefinido;9.27;0.11;0.5
LVBI11;Fundo de Investimento Imobiliario - VBI Logistico;Imóveis Industriais e Logísticos;110.67;0.75;0.1
LUGG11;LUGG11;Imóveis Residenciais;72.82;0.59;0.4
LTMT11;Speciale Blue Real Asset FII - Unica;Imóveis Residenciais;98.36;8.38;0.7
LSPA11;LSPA11;Papéis;24.01;20.85;0
LSOI11;LCP Special Opportunities I FII Responsa Ilimitada;Misto;12.26;0.10;0.7
LSAG11;Leste FI Cadeias Prod Agroin - Fiagro - Imo - Un;Indefinido;85.00;1.10;0.3
LRDI11;FII - Leblon Realty Desenvolimento I;Indefinido;200.00;32.60;0.8
LPLP11;Lago da Pedra - FI Imobiliario A;Indefinido;227.90;16.14;0.8
LOFT11B;LOFT11B;Fundo de Desenvolvimento;29.90;47.90;0.5
LLAO11;Bs2 Allinvestments Fdo Inv Imob Cef;Misto;57.20;7.31;0.9
LIFE11;Life Capital Partners FI Imobiliarios;Imóveis Comerciais - Outros;8.28;0.12;0.8
LGCP11;LGCP11;Imóveis Industriais e Logísticos;82.95;0.80;0.2
LFTT11;LFTT11;Papéis;2.10;0.21;0.7
LAVF11;LAVF11;Indefinido;-;1.30;0.3
LASC11;Legatus Shoppings FI Imobiliario FII;Shoppings;110.51;0.51;0.3
LAFI11;Lavoura I Fiagro Imobiliario;Misto;115.97;3.42;1
KRES11;KRES11;Misto;-;0.00;0.3
KORE11;Kinea Oportunidades Real Estate FII - Unica;Lajes Corporativas;70.16;1.25;0.7
KOPA11;Kinea Oportunidades Agro I Fiagro - Imobiliario;Indefinido;614.52;120.00;0.9
KNUQ11;Kinea Unique HY CDI FI Imobiliario - Unica;Indefinido;104.64;1.35;0.3
KNSC11;Kinea Securities FI Imobiliario FII;Papéis;8.71;0.09;0.9
KNRI11;Kinea Renda Imobiliaria FII;Misto;158.01;1.25;0.9
KNRE11;Kinea II Real Estate Equity FII;Fundo de Desenvolvimento;0.33;0.00;0.8
KNPR11;KNPR11;Indefinido;-;2.81;0.8
KNOX11;Knox Debt FI em Participacoes em Infraestrutura;Indefinido;98.03;2.67;0.7
KNIP11;Kinea Indices de Precos FII - Unica;Papéis;90.38;0.70;0.9
KNHY11;Kinea High Yield CRI FI Imobiliario-FII;Papéis;98.80;1.00;0.6
KNHF11;Kinea Hedge Fund FI Imobiliario Resp Limitada;Indefinido;96.08;1.00;0.7
KNCR11;Kinea Rendimentos Imobiliarios FII;Papéis;105.10;1.30;0.1
KNCA11;Kinea Credito Agro FIAGRO-Imobiliario;Indefinido;96.75;1.20;0.8
KIVO11;Kilima Volkano Recebiveis Imobiliarios FII;Papéis;63.99;0.87;0.1
KISU11;Kilima Fi Em Cotas Fdo Imob Suno 30;Fundo de Fundos;7.06;0.07;0.4
KINP11;KINP11;Fundo de Desenvolvimento;10.00;2.90;0.3
KFOF11;Fundo de FI Imobiliario Kinea FII RL;Fundo de Fundos;85.95;0.80;0.8
KFEN11;Kinea Fenix FII Responsabilidade Ltda - Unica;Indefinido;1.100.00;9.23;0.8
KEVE11;Even II Kinea Fundo de Investimento Imobiliario;Fundo de Desenvolvimento;725.00;61.00;0.7
KDOL11;Kinea Agro Income USD Fiagro-Imobiliario;Misto;93.00;0.40;0.3
KDIF11;Kinea Infra - FIC de Fundos Inc Inv Infra RF CP;Indefinido;129.84;1.45;0.6
KCRE11;Kinea Creditas FI Imobiliario - FII;Indefinido;8.80;0.09;1
JURO11;Sparta Inf FIC FIII RF CP RL;Indefinido;101.58;1.00;1
JSRE11;JS Real Estate Multigestao FII;Misto;66.66;0.48;0.9
JSCR11;JS Recebiveis Imobiliarios FII;Papéis;8.26;0.10;0.9
JSAF11;JS Ativos Financeiros FI Imobiliario;Fundo de Fundos;7.68;0.08;0.9
JPPA11;JPP Capital Recebiveis Imobiliarios FII;Papéis;81.56;1.21;0.1
JMBI11;Jivemaua Bossanova FIC Fund Inc Invest Infra RF RL;Outros;87.55;1.15;0.7
JGPX11;FI Cad Produt Agro JGP Credito FIAGRO Imobiliario;Indefinido;72.35;1.10;0.3
JFLL11;Jfl Living FI Imobiliario Classe Unica;Imóveis Residenciais;65.28;1.10;0.9
JCIN11;JHFS Capital Institucional-FII;Fundo de Fundos;148.90;0.27;0.1
